dataMatrix	L818f	L819f	L824m	L825m	L826m	L827m	L836f	L841f	L848m	L849m	L854f	L859m	L862f	W616f	W617f	W620f	W621f	W622f	W623f	W625m	W627m	W628m	W629m	W630m	W631m	W632f	W633f	W634m
Q99L13_3-hydroxyisobutyrate deh.	60416440.000002	59355456.0000009	57508527.9999986	69393440.0000021	60613448.0000015	69908936.0000018	70523904.0000006	67212440.0000003	59718555.9999988	58702948.0000017	64295332.0000001	57288988.0000004	74501808.000002	65040772.000001	67899679.9999983	65384795.9999986	67298799.9999999	69600863.9999987	72593367.9999984	47365319.9999988	52742720.0000005	54383443.9999999	65243955.999999	57539400.0000003	60119212.0000013	61051675.9999994	53761299.9999985	60874160.0000021
Q91W43_Glycine dehydrogenase (d.	28330050.0000004	27557979.9999996	36707539.9999988	18467856.0000006	40321132.0000011	20786548.0000002	30606726.0000006	27639026.0000004	27988353.999999	29167530.0000009	31527465.9999999	30721196.0000003	32903476.0000003	21465251.9999997	21871759.9999993	21224506.0000004	13812071.0000004	20537036.0000005	15957690.0000004	19966820.0000001	25881893.9999994	29744147.9999995	30701338	25678529.9999994	21222475.9999995	28065789.9999997	20914613.9999998	25433964.0000001
Q61316_Heat shock 70 kDa protei.	18511764.0000001	15681073.0000003	15703858.0000004	10862907.0000001	17916313.9999998	14061286.9999995	17558826.0000001	17980205.9999995	16603985.0000004	15974499	19335194.0000004	16978847.9999997	16381016.9999998	12425620.9999999	16062780.0000002	17073659.9999997	7289666.49999995	14234075.0000004	10561872.9999997	14382580.0000001	16755491.9999994	18512070.0000002	19980152.0000002	15189921.0000001	14647547.0000003	18820275.9999999	18615236.0000004	19065803.9999997
Q8JZZ0_UDP-glucuronosyltransfer.	67637768.0000006	64183719.9999999	39131743.9999999	68665576.0000015	43936539.9999998	60567091.9999993	48812672.0000002	66381168.000001	58064831.9999996	57241244.0000015	58404764.0000004	58182176.0000018	43240071.9999996	59918036.0000019	65588547.9999995	63707572.0000014	48983388.0000013	67643207.9999982	65061908.0000019	53472836.0000015	58825444.0000019	57488440.0000008	56920639.9999984	59488387.9999989	59656687.9999993	64955776.0000013	70979936.0000011	60868588.0000007
Q8VE09_Tetratricopeptide repeat.	1558291.11999996	1831054.75000004	35055223.9999997	43915011.999999	29050740.0000001	37774187.9999996	801569.750000025	3682062.49999996	39475379.999999	41729932	949083.999999988	34810352.0000006	537279.810000014	2624258.50000003	869944.120000001	856719.500000019	924181.380000022	827339.380000008	960226.250000018	43470156.0000014	49761707.9999983	41311380.0000008	39768292.000001	42470216.000001	47850015.9999992	807408.999999977	1162507.74999998	43490560.0000006
P63242_Eukaryotic translation i.	104476303.999998	116136536.000002	118389831.999996	119120983.999998	106728751.999999	117764503.999999	103331031.999997	113632415.999999	119364223.999996	105014943.999998	112447072.000003	120236784.000002	106536551.999999	114828351.999999	114014072	107102528.000002	126273407.999996	116839495.999998	120902768.000004	132030447.999999	115684479.999999	104324975.999999	117589312.000002	115031616.000004	103457488.000002	108205456.000003	107811519.999998	124806320.000002
Q91YH5_Atlastin-3	22915561.9999994	21999037.9999993	25100632.0000002	23265319.9999992	22590708.0000003	20818427.9999999	23111453.9999995	22363815.9999998	22707273.9999999	21826195.9999993	22364516.0000003	22365675.9999998	23077080.0000002	20837068.0000005	23272486.0000008	22932247.9999999	25496741.9999993	22753559.9999997	22754654.0000003	26517542.0000007	26389777.9999997	23768699.9999995	22938752.0000005	24053640.0000005	23616702.0000002	20727046.0000001	22437740.0000002	21733551.9999997
P61982_14-3-3 protein gamma	48883619.9999994	42997424	37242087.9999997	49367360.0000017	42720403.9999992	41802648.0000009	41995763.9999989	43194095.9999991	40287392.0000009	44631068.0000001	42343351.9999996	42851783.9999992	40855352.0000012	44370332.0000003	36696040.0000012	36387200.0000006	43512864.0000011	37673860.000001	43649459.9999985	52863191.9999992	48332984.0000003	45209960.0000004	45197012	40102540.0000002	44822155.9999997	37080216.0000004	43043911.9999987	47611487.9999999
Q8R146_Acylamino-acid-releasing.	15255250.0000005	16685720.0000002	12424299	11899617.0000001	14093217.0000002	11209131.0000001	16469072.0000003	14272343.0000002	8256001.50000013	14738407.0000001	13330849.9999996	15822763	13742302.0000002	12442931.9999997	10957727.0000003	12744688.0000002	10842169.0000002	13520361.0000002	10675794.0000002	14808416	15238497.9999995	12971552.0000001	12968608.9999996	12551971.9999998	13436224	14285182.9999999	11143113.0000002	12961971.9999999
Q8CC88_von Willebrand factor A .	23774509.9999992	17315764.0000003	20213605.9999993	21893278.0000006	23992630.0000006	21494095.9999999	18546911.9999998	25069770.0000008	23867350.0000006	24606738.0000005	22316897.9999997	29093439.9999993	16629882.9999998	15749431.0000005	20692010.0000006	17781011.9999999	10184406	19424291.9999997	14106680.0000003	16311504.9999997	20214794.0000006	25720920.0000004	24809774.0000007	22036003.9999998	21601573.9999999	24836964.0000003	17819752.0000003	21574596.0000003
