dataMatrix	L818f	L819f	L824m	L825m	L826m	L827m	L836f	L841f	L848m	L849m	L854f	L859m	L862f	W616f	W617f	W620f	W621f	W622f	W623f	W625m	W627m	W628m	W629m	W630m	W631m	W632f	W633f	W634m
2-oxohexanoic acid	61704.7936119771	95824.3872111035	233703.802293911	216060.849355364	57146.1318125872	108717.788820905	125974.996491446	133303.902420856	146904.119922948	134139.941539697	94317.3049426211	151726.449860626	49562.617651882	178091.72334928	103067.861433348	109455.045170117	1050638.78021562	189645.854948532	513993.748279933	180598.836145215	279071.281056427	162052.537952858	561172.976435395	816932.480759585	99953.0445600598	106321.203851381	238956.421152458	134860.326336735
creatine	2746697.57601517	2668280.57444872	3394430.67675759	1503454.14665532	2744413.7111111	2833001.41456533	4139503.58089865	3619565.51888424	3996115.13977833	4326310.34320224	2600335.5826296	4528665.89948972	3360220.12750659	2864897.71982761	2590898.32141038	3576142.62931696	2931395.4698007	2351638.56832898	3059743.99709467	1397801.25913876	2599514.61506481	3041581.10617186	2857672.70488774	3000213.98476302	2254712.00202658	1766119.13238587	2794835.60761932	2699827.89881591
L-asparagine	8503041.23154075	11419294.6988954	8907877.39135386	14290439.9191637	9091709.21004945	9982109.8516869	9796888.87883331	15823996.9287211	15818973.5924	11726652.5907264	15061370.351574	11730364.0705083	11051589.6956732	17238923.2326979	21010625.6754043	25315573.9237335	10581958.0995214	12792054.6176177	19674400.7850511	17476700.0632304	16419272.2632898	18739848.8231821	16154535.9870798	21850324.1580161	15194099.8768459	20392211.769402	23779651.8319255	19195208.7864203
L-aspartic acid	12561423.3694676	17761048.17203	17963497.4397658	10955657.4051147	9432720.28949216	9917994.85624873	32491419.3987153	28378353.3198508	12027489.0896796	23094883.566487	18108191.2591225	25614020.9004389	29667816.3184801	34224384.7664572	23402370.4577289	28078481.2425338	24207763.0509105	43542039.5257016	25601185.5924163	23348376.4839964	30931423.586463	14656061.2183738	21584012.5706084	19828521.012733	15654000.5982058	17736031.9125711	22893778.6683667	14611939.5540941
salicylamide	45840.6671664016	72370.0813825843	81852.8588640186	49353.3596486774	31046.7051982664	37840.9788175584	121746.253373231	102570.420870452	74875.763702084	122599.182704278	47225.651778453	122109.556816803	94137.166299926	113240.775408013	36163.1732163549	74063.6050657855	151248.77161237	162819.535599072	121976.641174822	84158.5080595542	256114.575285919	56422.537462572	69602.9806165997	173887.644466621	47035.3395159338	31729.6626284717	67149.406066563	58310.6959508319
salicylic acid	52497.3785169166	75238.7512680639	123547.023240325	95461.2449136301	43940.4920495662	104645.488949752	103739.724866169	49814.8817085823	136670.958757831	33311.0130372333	117257.826646985	106793.505276703	46272.0395240351	400723.777663294	51390.6653872768	305285.730563233	130859.526480739	262222.206247737	54532.5571022775	35832.3666547307	69377.3303590414	49934.154668525	71293.8785437303	135726.30644034	36437.706230067	114479.983295503	70936.9731313152	203719.761615375
4-nitrophenol	15038.010010241	15991.5954786897	39280.409174284	51462.3670972505	13522.4122822797	13692.9541024172	28154.7890742003	14772.3046133882	30577.7654150044	13567.9650019455	16886.3941813122	20292.4140432125	17768.7282162029	24868.2625546948	12323.3207828443	19098.5492657701	21572.931377305	15799.0832619667	21571.7183826603	10192.3318253039	7512.46479681497	16868.5106408911	49172.0546093115	29478.4701461566	11934.856579918	377.754087356619	22405.4193365307	24541.4997710403
adipic acid	199784.95113021	431838.477960679	546907.864766309	340990.213596365	455895.066442495	476669.916376526	440678.477477578	442755.565764379	476990.371427089	429520.213053721	495903.641634766	423524.05372222	359224.143639193	304523.049694054	381989.621494401	343756.95377163	364607.910002722	378572.152202122	297122.444177108	372371.230708049	477034.193718923	446219.382849107	754095.799640366	622732.06554078	387684.378054678	276844.9684718	370447.704937718	485970.783013433
L-methionine	12625290.4203161	17479211.3621444	11664805.8480848	13784936.184053	16202583.8098759	16852117.8611257	19656202.2268481	23744065.6407189	21685334.9484662	18419127.8941664	21400660.6278886	19663349.7102886	20003490.1145693	33602701.2663655	26770663.518055	34751667.2364624	26043895.7280364	29760185.9020572	31081845.6052098	26381836.445472	37592160.1848934	26374647.7499129	16838701.0033206	25473657.3244765	23580585.6516127	26088965.9063083	28928339.3401709	26205135.5015297
L-arabinopyranose	578520.708844349	749238.065831154	777760.109259009	797862.504208465	730133.274992275	721631.197480925	784840.556130604	610383.405206623	819756.412642187	764239.925432115	819571.202700585	805029.66057788	775958.504398588	833251.220601557	820804.754679203	930756.224910987	982485.122356665	870736.33610946	740188.7028772	826190.569215192	867959.789230312	773646.238691862	855616.0714107	738441.183487579	805042.856155408	790451.42580787	656596.599670563	2487866.86548103
